JURIS17,CNTY,(No column name)
ALGONA,33,0
BOTHELL2,61,3
BREMERTON,35,1
BUCKLEY,53,1
DES MOINES,33,-54
ENUMCLAW,33,1
FEDERAL WAY,33,16
GOLD BAR,61,3
KENMORE,33,3
KENT,33,2
MARYSVILLE,61,2
PORT ORCHARD,53,3
SAMMAMISH,33,-1
SEATAC,33,-9
SEATTLE,33,-75
SHORELINE,33,2
STANWOOD,61,-1
UNINCORPORATED,33,18
UNINCORPORATED,35,23
UNINCORPORATED,53,136
UNINCORPORATED,61,35
