JURIS17,CNTY,(No column name)
BELLEVUE,33,65
DES MOINES,33,9
EATONVILLE,53,4
EDGEWOOD,53,-3
EVERETT,61,-7
FIFE,53,4
ISSAQUAH,33,12
KENMORE,33,19
KENT,33,8
KIRKLAND,33,-10
LAKEFORESTPARK,33,3
MARYSVILLE,61,4
MONROE,61,-4
NEWCASTLE,33,9
NORMANDY PARK,33,16
SAMMAMISH,33,30
SEATTLE,33,416
SHORELINE,33,4
SNOHOMISH,61,3
SNOQUALMIE,33,88
TACOMA,53,7
UNINCORPORATED,33,-3
UNINCORPORATED,53,8
UNINCORPORATED,61,120
