JURIS17,CNTY,(No column name)
BELLEVUE,33,168
BOTHELL,61,5
BOTHELL2,61,5
DES MOINES,33,6
EDMONDS,61,9
EVERETT,61,11
ISSAQUAH,33,21
KENMORE,33,6
KIRKLAND,33,-6
LAKEFORESTPARK,33,9
LYNNWOOD,61,5
MAPLE VALLEY,33,6
MARYSVILLE,61,132
SAMMAMISH,33,20
SEATTLE,33,410
SHORELINE,33,7
SNOHOMISH,61,5
UNINCORPORATED,53,54
UNINCORPORATED,61,174
