JURIS17,CNTY,(No column name)
ARLINGTON,61,171
BELLEVUE,33,16
ISSAQUAH,33,50
KIRKLAND,33,12
LYNNWOOD,61,9
MAPLE VALLEY,33,324
MARYSVILLE,61,24
MONROE,61,12
PUYALLUP,53,14
SEATTLE,33,233
STANWOOD,61,24
TACOMA,53,134
UNINCORPORATED,33,11
UNINCORPORATED,35,41
UNINCORPORATED,53,104
UNINCORPORATED,61,26
