JURIS17,CNTY,(No column name)
BREMERTON,35,27
BURIEN,33,55
DES MOINES,33,394
EDMONDS,61,20
ISSAQUAH,33,160
MARYSVILLE,61,44
POULSBO,35,91
PUYALLUP,53,56
SEATTLE,33,828
SHORELINE,33,33
STANWOOD,61,24
TACOMA,53,226
UNINCORPORATED,53,230
UNINCORPORATED,61,280
