JURIS17,CNTY,(No column name)
ALGONA,33,7
ARLINGTON,61,88
BLACK DIAMOND,33,11
BOTHELL,61,100
BOTHELL2,61,83
BREMERTON,35,104
BRIER,61,15
BUCKLEY,53,48
BURIEN,33,67
CARBONADO,53,2
CARNATION,33,26
CLYDEHILL,33,-2
COVINGTON,33,81
DARRINGTON,61,2
DES MOINES,33,9
DUPONT,53,0
EATONVILLE,53,8
EDGEWOOD,53,148
EDMONDS,61,42
ENUMCLAW,33,31
EVERETT,61,246
FEDERAL WAY,33,45
FIFE,53,1
FIRCREST,53,3
GIG HARBOR,53,227
GOLD BAR,61,12
GRANITE FALLS,61,70
ISSAQUAH,33,94
KENMORE,33,37
KENT,33,270
KIRKLAND,33,132
LAKE STEVENS,61,154
LAKEFORESTPARK,33,13
LYNNWOOD,61,24
MAPLE VALLEY,33,125
MARYSVILLE,61,72
MERCERISLAND,33,40
MILLCREEK,61,30
MONROE,61,86
NEWCASTLE,33,43
NORMANDY PARK,33,-1
ORTING,53,75
PORT ORCHARD,53,59
POULSBO,35,101
PUYALLUP,53,103
SAMMAMISH,33,333
SEATAC,33,10
SEATTLE,33,167
SHORELINE,33,55
SNOHOMISH,61,12
SNOQUALMIE,33,69
STANWOOD,61,14
STEILACOOM,53,10
SUMNER,53,25
TACOMA,53,96
UNINCORPORATED,35,446
UNINCORPORATED,33,401
UNINCORPORATED,53,1745
UNINCORPORATED,61,1499
UNIVERSITY PLACE,53,116
WILKESON,53,8
WOODINVILLE,33,54
WOODWAY,61,-1
YARROW POINT,33,2
