JURIS17,CNTY,(No column name)
BELLEVUE,33,1034
EDMONDS,61,91
ISSAQUAH,33,350
PUYALLUP,53,166
SEATTLE,33,7076
SHORELINE,33,81
TACOMA,53,518
UNINCORPORATED,33,109
WOODINVILLE,33,236
