CNTY,PLC,JURIS,JURIS17,CNTY,NET_UNITS,,JURIS17,CNTY,LOST_UNITS,,JURIS17,CNTY,NEW_UNITS,,JURIS17,CNTY,SF,,JURIS17,CNTY,MF1-2,,JURIS17,CNTY,MF3-4,JURIS17,CNTY,MF5-9,,JURIS17,CNTY,MF10-19,JURIS17,CNTY,MF20-49,,JURIS17,CNTY,MF50+,,JURIS17,CNTY,MH,,JURIS17,CNTY,OTH,NEWUNITS,LOSTUNITS,NETUNITS,SF,MF1-2,MF3-4,MF5-9,MF10-19,MF20-49,MF50+,MH,OTH
061,27365,GOLD BAR,GOLD BAR,61,15,,,,,,GOLD BAR,61,15,,GOLD BAR,61,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,8,0,0,0,0,0,0,1,0
061,27995,GRANITE FALLS,GRANITE FALLS,61,70,,GRANITE FALLS,61,-4,,GRANITE FALLS,61,74,,GRANITE FALLS,61,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-3,11,2,4,0,5,0,0,0,0,0
033,32755,HUNTS POINT*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
061,33175,INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,33805,ISSAQUAH,ISSAQUAH,33,841,,,,,,ISSAQUAH,33,841,,ISSAQUAH,33,94,,ISSAQUAH,33,8,,ISSAQUAH,33,12,ISSAQUAH,33,21,,ISSAQUAH,33,50,,,,,ISSAQUAH,33,350,,,,,,,,,159,-5,154,111,7,0,6,30,0,0,0,0
033,35170,KENMORE,KENMORE,33,79,,KENMORE,33,-11,,KENMORE,33,90,,KENMORE,33,37,,KENMORE,33,14,,KENMORE,33,19,KENMORE,33,6,,,,,ISSAQUAH,33,160,,,,,,KENMORE,33,3,,,,,216,-9,207,83,5,0,0,25,0,94,0,0
033,35415,KENT,KENT,33,282,,KENT,33,-18,,KENT,33,300,,KENT,33,270,,KENT,33,2,,KENT,33,8,,,,,,,,,,,,,,,,KENT,33,2,,,,,407,-25,382,170,3,0,6,50,154,0,-1,0
033,35940,KIRKLAND,KIRKLAND,33,234,,KIRKLAND,33,-154,,KIRKLAND,33,388,,KIRKLAND,33,132,,KIRKLAND,33,46,,KIRKLAND,33,-10,KIRKLAND,33,-6,,KIRKLAND,33,12,,,,,,,,,,,,,,,,537,-121,416,176,30,-4,-5,0,0,219,0,0
033,37270,LAKE FOREST PARK,LAKE STEVENS,61,160,,,,,,LAKEFORESTPARK,33,25,,LAKEFORESTPARK,33,13,,,,,,LAKEFORESTPARK,33,3,LAKEFORESTPARK,33,9,,,,,,,,,,,,,,,,,,,,48,-4,44,29,2,12,1,0,0,0,0,0
061,37900,LAKE STEVENS,LAKEFORESTPARK,33,25,,LAKE STEVENS,61,-9,,LAKE STEVENS,61,169,,LAKE STEVENS,61,154,,LAKE STEVENS,61,6,,,,,,,,,,,,,,,,,,,,,,,,,,,367,-7,360,356,4,0,0,0,0,0,0,0
053,38038,LAKEWOOD,,,,,,,,,,,,,,,,,,,,,,,,LYNNWOOD,61,5,,,,,,,,,,,,,,,,,,,,41,-25,16,10,3,4,0,0,0,0,-1,0
061,40840,LYNNWOOD,LYNNWOOD,61,45,,LYNNWOOD,61,-7,,LYNNWOOD,61,52,,LYNNWOOD,61,24,,,,,,,,,,,,,LYNNWOOD,61,9,,,,,,,,,,,,,,,,12,-7,5,4,0,0,0,0,0,0,1,0
033,43150,MAPLE VALLEY,MAPLE VALLEY,33,455,,,,,,MAPLE VALLEY,33,455,,MAPLE VALLEY,33,125,,,,,,,,,MAPLE VALLEY,33,6,,MAPLE VALLEY,33,324,,,,,,,,,MARYSVILLE,61,2,,,,,51,-8,43,43,0,0,0,0,0,0,0,0
061,43955,MARYSVILLE,MARYSVILLE,61,297,,MARYSVILLE,61,-16,,MARYSVILLE,61,313,,MARYSVILLE,61,72,,MARYSVILLE,61,16,,MARYSVILLE,61,4,MARYSVILLE,61,132,,MARYSVILLE,61,24,MARYSVILLE,61,44,,,,,,,,,,,,,279,-10,269,81,2,0,22,90,72,0,2,0
033,44725,MEDINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,45005,MERCER ISLAND,MERCERISLAND,33,55,,MERCERISLAND,33,-38,,MERCERISLAND,33,93,,MERCERISLAND,33,40,,MERCERISLAND,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,20,-12,8,7,1,0,0,0,0,0,0,0
061,45865,MILL CREEK,MILLCREEK,61,30,,MILLCREEK,61,-2,,MILLCREEK,61,32,,MILLCREEK,61,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,-1,251,34,1,0,0,0,43,173,0,0
033,46020,MILTON*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
053,46020,MILTON*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
061,46685,MONROE,MONROE,61,94,,MONROE,61,-14,,MONROE,61,108,,MONROE,61,86,,,,,,MONROE,61,-4,,,,,MONROE,61,12,,,,,,,,,,,,,,,,123,-2,121,111,9,0,0,0,0,0,1,0
061,47490,MOUNTLAKE TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,-5,42,41,1,0,0,0,0,0,0,0
061,47735,MUKILTEO,MUKILTEO,61,2,,,,,,MUKILTEO,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-1,6,6,0,0,0,0,0,0,0,0
033,48645,NEWCASTLE,NEWCASTLE,33,52,,,,,,NEWCASTLE,33,52,,NEWCASTLE,33,43,,,,,,NEWCASTLE,33,9,,,,,,,,,,,,,,,,,,,,,,,190,0,190,24,6,26,13,0,0,120,1,0
033,49415,NORMANDY PARK,NORMANDY PARK,33,15,,NORMANDY PARK,33,-3,,NORMANDY PARK,33,18,,NORMANDY PARK,33,-1,,,,,,NORMANDY PARK,33,16,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,0,0,0,0,0,0,0
033,49485,NORTH BEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,-1,39,39,0,0,0,0,0,0,0,0
053,52005,ORTING,ORTING,53,75,,,,,,ORTING,53,75,,ORTING,53,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,96,96,0,0,0,0,0,0,0,0
033,52495,PACIFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,-9,9,8,1,0,0,0,0,0,0,0
053,52495,PACIFIC,PORT ORCHARD,35,0,,,,,,PORT ORCHARD,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
035,55785,PORT ORCHARD,PORT ORCHARD,53,62,,PORT ORCHARD,35,-1,,PORT ORCHARD,53,77,,PORT ORCHARD,53,59,,,,,,,,,,,,,,,,,,,,,,,,PORT ORCHARD,53,3,,,,,54,-7,47,45,2,0,0,0,0,0,0,0
035,55995,POULSBO,POULSBO,35,195,,PORT ORCHARD,53,-15,,POULSBO,35,195,,POULSBO,35,101,,POULSBO,35,2,,,,,,,,,,,,POULSBO,35,91,,,,,,,,,,,,,125,0,125,125,0,0,0,0,0,0,0,0
053,56695,PUYALLUP,PUYALLUP,53,339,,PUYALLUP,53,-14,,PUYALLUP,53,353,,PUYALLUP,53,103,,,,,,,,,,,,,PUYALLUP,53,14,PUYALLUP,53,56,,PUYALLUP,53,166,,,,,,,,,135,-7,128,120,0,8,0,0,0,0,0,0
033,57535,REDMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,-43,177,148,4,4,21,0,0,0,0,0
033,57745,RENTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,-47,57,63,-10,4,0,0,0,0,0,0
053,60160,ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
053,60610,RUSTON*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,61115,SAMMAMISH,SAMMAMISH,33,400,,SAMMAMISH,33,-24,,SAMMAMISH,33,424,,SAMMAMISH,33,333,,SAMMAMISH,33,18,,SAMMAMISH,33,30,SAMMAMISH,33,20,,,,,,,,,,,,,SAMMAMISH,33,-1,,,,,316,-41,275,226,10,34,5,0,0,0,0,0
033,62288,SEATAC,SEATAC,33,9,,SEATAC,33,-22,,SEATAC,33,31,,SEATAC,33,10,,SEATAC,33,8,,,,,,,,,,,,,,,,,,,,SEATAC,33,-9,,,,,76,-24,52,48,4,0,0,0,0,0,0,0
033,63000,SEATTLE,SEATTLE,33,9871,,SEATTLE,33,-1016,,SEATTLE,33,10887,,SEATTLE,33,167,,SEATTLE,33,816,,SEATTLE,33,416,SEATTLE,33,410,,SEATTLE,33,233,SEATTLE,33,828,,SEATTLE,33,7076,,SEATTLE,33,-75,,,,,"10,757",-772,"9,985",440,562,273,353,113,"1,344","6,900",0,0
033,63960,SHORELINE,SHORELINE,33,198,,SHORELINE,33,-26,,SHORELINE,33,224,,SHORELINE,33,55,,SHORELINE,33,12,,SHORELINE,33,4,SHORELINE,33,7,,,,,SHORELINE,33,33,,SHORELINE,33,81,,SHORELINE,33,2,,,,,365,-36,329,34,0,0,1,0,0,293,1,0
061,65170,SNOHOMISH,SNOHOMISH,61,30,,SNOHOMISH,61,-1,,SNOHOMISH,61,31,,SNOHOMISH,61,12,,SNOHOMISH,61,10,,SNOHOMISH,61,3,SNOHOMISH,61,5,,,,,,,,,,,,,STANWOOD,61,-1,,,,,56,-3,53,53,0,0,0,0,0,0,0,0
033,65205,SNOQUALMIE,SNOQUALMIE,33,256,,,,,,SNOQUALMIE,33,256,,SNOQUALMIE,33,69,,,,,,SNOQUALMIE,33,88,,,,,,,,,,,,,,,,,,,,,,,99,-4,95,94,1,0,0,0,0,0,0,0
061,67455,STANWOOD,STANWOOD,61,63,,STANWOOD,61,-2,,STANWOOD,61,65,,STANWOOD,61,14,,STANWOOD,61,2,,,,,,,,,STANWOOD,61,24,STANWOOD,61,24,,,,,,,,,,,,,25,0,25,25,0,0,0,0,0,0,0,0
053,67770,STEILACOOM,STEILACOOM,53,10,,STEILACOOM,53,-1,,STEILACOOM,53,11,,STEILACOOM,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,17,17,0,0,0,0,0,0,0,0
061,68260,SULTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,-1,17,16,2,0,0,0,0,0,-1,0
053,68435,SUMNER,SUMNER,53,23,,SUMNER,53,-3,,SUMNER,53,26,,SUMNER,53,25,,SUMNER,53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,54,-5,49,26,0,0,24,0,0,0,-1,0
053,70000,TACOMA,TACOMA,53,987,,TACOMA,53,-56,,TACOMA,53,1043,,TACOMA,53,96,,TACOMA,53,6,,,,,,,,,TACOMA,53,134,TACOMA,53,226,,TACOMA,53,518,,,,,,,,,500,-33,467,70,12,4,40,48,0,293,0,0
033,72625,TUKWILA,TUKWILA,33,14,,TUKWILA,33,-3,,TUKWILA,33,17,,,,,,,,,,TACOMA,53,7,,,,,,,,,,,,,,,,,,,,,,,33,-3,30,30,0,0,0,0,0,0,0,0
033,99995,UNINCORPORATED KING,UNINCORPORATED,33,570,,UNINCORPORATED,33,-61,,UNINCORPORATED,33,631,,UNINCORPORATED,35,446,,UNINCORPORATED,35,24,,UNINCORPORATED,33,-3,,,,,UNINCORPORATED,33,11,,,,,UNINCORPORATED,33,109,,UNINCORPORATED,33,18,,,,,548,-66,482,478,2,0,10,0,0,0,-7,-1
035,99996,UNINCORPORATED KITSAP,UNINCORPORATED,53,2297,,UNINCORPORATED,53,-89,,UNINCORPORATED,53,2386,,UNINCORPORATED,33,401,,UNINCORPORATED,33,32,,,,,,,,,UNINCORPORATED,35,41,,,,,,,,,UNINCORPORATED,35,23,,,,,322,-27,295,268,14,0,0,0,0,0,13,0
053,99997,UNINCORPORATED PIERCE,UNINCORPORATED,61,2217,,UNINCORPORATED,61,-84,,UNINCORPORATED,61,2301,,UNINCORPORATED,53,1745,,UNINCORPORATED,53,16,,UNINCORPORATED,53,8,UNINCORPORATED,53,54,,UNINCORPORATED,53,104,UNINCORPORATED,53,230,,,,,,UNINCORPORATED,53,136,,,,,"2,297",-144,"2,153","1,360",52,1,86,216,396,0,42,0
061,99998,UNINCORPORATED SNOHOMISH,UNINCORPORATED,35,538,,UNINCORPORATED,35,-113,,UNINCORPORATED,35,651,,UNINCORPORATED,61,1499,,UNINCORPORATED,61,83,,UNINCORPORATED,61,120,UNINCORPORATED,61,174,,UNINCORPORATED,61,26,UNINCORPORATED,61,280,,,,,,UNINCORPORATED,61,35,,,,,"2,307",-124,"2,183","1,485",64,135,132,80,264,0,23,0
053,73465,UNIVERSITY PLACE,UNIVERSITY PLACE,53,124,,UNIVERSITY PLACE,53,-2,,UNIVERSITY PLACE,53,126,,UNIVERSITY PLACE,53,116,,UNIVERSITY PLACE,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,62,-6,56,52,4,0,0,0,0,0,0,0
053,78925,WILKESON,WILKESON,53,8,,,,,,WILKESON,53,8,,WILKESON,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,79590,WOODINVILLE,WOODINVILLE,33,290,,,,,,WOODINVILLE,33,290,,WOODINVILLE,33,54,,,,,,,,,,,,,,,,,,,,WOODINVILLE,33,236,,,,,,,,,14,-3,11,11,0,0,0,0,0,0,0,0
061,79835,WOODWAY,WOODWAY,61,-1,,WOODWAY,61,-3,,WOODWAY,61,2,,WOODWAY,61,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0,0,0
033,80150,YARROW POINT,YARROW POINT,33,5,,YARROW POINT,33,-4,,YARROW POINT,33,9,,YARROW POINT,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-8,3,3,0,0,0,0,0,0,0,0
