CNTY,PLC,JURIS,JURIS17,CNTY,NET_UNITS,,JURIS17,CNTY,LOST_UNITS,,JURIS17,CNTY,NEW_UNITS,,JURIS17,CNTY,SF,,JURIS17,CNTY,MF1-2,,JURIS17,CNTY,MF3-4,JURIS17,CNTY,MF5-9,,JURIS17,CNTY,MF10-19,JURIS17,CNTY,MF20-49,,JURIS17,CNTY,MF50+,,JURIS17,CNTY,MH,,JURIS17,CNTY,OTH,NEWUNITS,LOSTUNITS,NETUNITS,SF,MF1-2,MF3-4,MF5-9,MF10-19,MF20-49,MF50+,MH,OTH
033,01290,ALGONA,ALGONA,33,7,,ALGONA,33,-3,,ALGONA,33,10,,ALGONA,33,7,,,,,,,,,,,,,,,,,,,,,,,,ALGONA,33,0,,,,,2,-1,1,0,0,0,0,0,0,0,1,0
061,02585,ARLINGTON,ARLINGTON,61,265,,ARLINGTON,61,-2,,ARLINGTON,61,267,,ARLINGTON,61,88,,ARLINGTON,61,6,,,,,,,,,ARLINGTON,61,171,,,,,,,,,,,,,,,,19,-5,14,9,2,3,0,0,0,0,0,0
033,03180,AUBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,-22,750,148,2,0,0,306,0,295,-1,0
053,03180,AUBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,7,0,0,0,0,0,0,0,0
035,03736,BAINBRIDGE ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,-27,119,77,19,0,0,28,0,0,-5,0
033,04895,BEAUX ARTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0,0,0,0,0,0,0,0,0,0
033,05210,BELLEVUE,BELLEVUE,33,1309,,,,,,BELLEVUE,33,1309,,,,,,BELLEVUE,33,26,,BELLEVUE,33,65,BELLEVUE,33,168,,BELLEVUE,33,16,,,,,BELLEVUE,33,1034,,,,,,,,,"1,424",-1,"1,423",0,17,36,11,10,64,"1,285",0,0
033,06330,BLACK DIAMOND,BLACK DIAMOND,33,11,,BLACK DIAMOND,33,-1,,BLACK DIAMOND,33,12,,BLACK DIAMOND,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-2,6,6,0,0,0,0,0,0,0,0
053,07170,BONNEY LAKE*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,07380,BOTHELL,BOTHELL,61,109,,,,,,BOTHELL,61,109,,BOTHELL,61,100,,BOTHELL,61,4,,,,,BOTHELL,61,5,,,,,,,,,,,,,,,,,,,,509,-13,496,74,1,0,0,0,0,421,0,0
061,07380,BOTHELL,BOTHELL2,61,93,,BOTHELL2,61,-15,,BOTHELL2,61,108,,BOTHELL2,61,83,,BOTHELL2,61,2,,,,,BOTHELL2,61,5,,,,,,,,,,,,,BOTHELL2,61,3,,,,,103,-10,93,78,0,0,0,15,0,0,0,0
035,07695,BREMERTON,BREMERTON,35,138,,BREMERTON,35,-6,,BREMERTON,35,144,,BREMERTON,35,104,,BREMERTON,35,6,,,,,,,,,,,,BREMERTON,35,27,,,,,,BREMERTON,35,1,,,,,27,-6,21,17,3,0,0,0,0,0,1,0
061,07940,BRIER,BRIER,61,15,,BRIER,61,-5,,BRIER,61,20,,BRIER,61,15,,BURIEN,33,6,,,,,,,,,,,,BURIEN,33,55,,,,,,,,,,,,,20,-5,15,15,0,0,0,0,0,0,0,0
053,08570,BUCKLEY,BUCKLEY,53,49,,BUCKLEY,53,-1,,BUCKLEY,53,50,,BUCKLEY,53,48,,,,,,,,,,,,,,,,,,,,,,,,BUCKLEY,53,1,,,,,60,-1,59,59,0,0,0,0,0,0,0,0
033,08850,BURIEN,BURIEN,33,128,,,,,,BURIEN,33,128,,BURIEN,33,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,-1,243,61,3,0,0,0,179,0,0,0
053,09970,CARBONADO,CARBONADO,53,0,,CARBONADO,53,-4,,CARBONADO,53,4,,CARBONADO,53,2,,CARBONADO,53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,10215,CARNATION,CARNATION,33,26,,,,,,CARNATION,33,26,,CARNATION,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,-2,67,63,0,0,6,0,0,0,-2,0
033,13365,CLYDE HILL,CLYDEHILL,33,2,,CLYDEHILL,33,-22,,CLYDEHILL,33,24,,CLYDEHILL,33,-2,,CLYDEHILL,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,21,-19,2,0,2,0,0,0,0,0,0,0
033,15290,COVINGTON,COVINGTON,33,81,,COVINGTON,33,-3,,COVINGTON,33,84,,COVINGTON,33,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,62,62,0,0,0,0,0,0,0,0
061,16690,DARRINGTON,DARRINGTON,61,2,,,,,,DARRINGTON,61,2,,DARRINGTON,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,17635,DES MOINES,DES MOINES,33,366,,DES MOINES,33,-72,,DES MOINES,33,438,,DES MOINES,33,9,,DES MOINES,33,2,,DES MOINES,33,9,DES MOINES,33,6,,,,,DES MOINES,33,394,,,,,,DES MOINES,33,-54,,,,,17,4,21,4,2,9,6,0,0,0,0,0
053,18965,DUPONT,DUPONT,53,0,,DUPONT,53,-1,,DUPONT,53,1,,DUPONT,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
033,19035,DUVALL*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
053,20260,EATONVILLE,EATONVILLE,53,14,,,,,,EATONVILLE,53,14,,EATONVILLE,53,8,,EATONVILLE,53,2,,EATONVILLE,53,4,,,,,,,,,,,,,,,,,,,,,,,3,-2,1,1,0,0,0,0,0,0,0,0
053,20645,EDGEWOOD,EDGEWOOD,53,151,,EDGEWOOD,53,-17,,EDGEWOOD,53,168,,EDGEWOOD,53,148,,EDGEWOOD,53,6,,EDGEWOOD,53,-3,,,,,,,,,,,,,,,,,,,,,,,183,-4,179,53,2,0,0,76,48,0,0,0
061,20750,EDMONDS,EDMONDS,61,174,,EDMONDS,61,-15,,EDMONDS,61,189,,EDMONDS,61,42,,EDMONDS,61,12,,,,,EDMONDS,61,9,,,,,EDMONDS,61,20,,EDMONDS,61,91,,,,,,,,,203,-11,192,32,3,19,10,0,0,128,0,0
033,22045,ENUMCLAW,ENUMCLAW,33,32,,,,,,ENUMCLAW,33,32,,ENUMCLAW,33,31,,,,,,,,,,,,,,,,,,,,,,,,ENUMCLAW,33,1,,,,,35,-3,32,27,0,0,0,0,0,0,5,0
061,22640,EVERETT,EVERETT,61,296,,EVERETT,61,-21,,EVERETT,61,317,,EVERETT,61,246,,EVERETT,61,38,,EVERETT,61,-7,EVERETT,61,11,,,,,,,,,,,,,,,,,,,,261,-41,220,157,2,0,0,10,49,0,2,0
033,23515,FEDERAL WAY,FEDERAL WAY,33,125,,FEDERAL WAY,33,-9,,FEDERAL WAY,33,134,,FEDERAL WAY,33,45,,FEDERAL WAY,33,2,,,,,,,,,,,,,,,,,,,,FEDERAL WAY,33,16,,,,,83,-27,56,32,1,0,0,0,24,0,-1,0
053,23795,FIFE,FIFE,53,7,,,,,,FIFE,53,7,,FIFE,53,1,,FIFE,53,2,,FIFE,53,4,,,,,,,,,,,,,,,,,,,,,,,0,-1,-1,-1,0,0,0,0,0,0,0,0
053,23970,FIRCREST,FIRCREST,53,3,,,,,,FIRCREST,53,3,,FIRCREST,53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,3,3,0,0,0,0,0,0,0,0
053,26735,GIG HARBOR,GIG HARBOR,53,229,,GIG HARBOR,53,-4,,GIG HARBOR,53,233,,GIG HARBOR,53,227,,GIG HARBOR,53,2,,,,,,,,,,,,,,,,,,,,GOLD BAR,61,3,,,,,205,-4,201,201,0,0,0,0,0,0,0,0
