JURIS17,CNTY,(No column name)
ARLINGTON,61,6
BELLEVUE,33,26
BOTHELL,61,4
BOTHELL2,61,2
BREMERTON,35,6
BURIEN,33,6
CARBONADO,53,-2
CLYDEHILL,33,4
DES MOINES,33,2
EATONVILLE,53,2
EDGEWOOD,53,6
EDMONDS,61,12
EVERETT,61,38
FEDERAL WAY,33,2
FIFE,53,2
GIG HARBOR,53,2
ISSAQUAH,33,8
KENMORE,33,14
KENT,33,2
KIRKLAND,33,46
LAKE STEVENS,61,6
MARYSVILLE,61,16
MERCERISLAND,33,12
POULSBO,35,2
SAMMAMISH,33,18
SEATAC,33,8
SEATTLE,33,816
SHORELINE,33,12
SNOHOMISH,61,10
STANWOOD,61,2
SUMNER,53,-2
TACOMA,53,6
UNINCORPORATED,35,24
UNINCORPORATED,33,32
UNINCORPORATED,53,16
UNINCORPORATED,61,83
UNIVERSITY PLACE,53,8
