PSRC_ID,score,scaled_score
3020,0.896861777,0
56367,31,20.93908433
60718,45.98935418,26.42744384
61395,77,33.66726895
62983,56.56275872,29.32679727
89606,101.3077016,37.54264221
101377,30.45413497,20.69329217
104592,196.4747639,46.93729712
107077,285.0916731,52.23303278
108742,304.361287,53.16422319
109321,536.6693373,61.24633938
109420,679.1529228,64.60453799
110901,843.0277181,67.68836193
111115,906.1054447,68.71798143
111130,875.2637292,68.2238158
122832,141.1789338,42.24409088
123826,319.7128054,53.86494336
124034,268.5594669,51.38270032
124351,125.0961991,40.52921573
125313,170.8214425,44.94936875
125932,53.52775985,28.55299896
126338,84.31281571,34.94749551
127318,48.66823605,27.21950879
130354,54.49036103,28.80299044
131037,363.424102,55.6902615
132639,74.92622621,33.28231659
133349,268.2910495,51.36846804
133900,255.886081,50.69475317
134983,70.06064468,32.33619518
135394,338.8301865,54.69208631
146118,4.357156409,0
171391,65.22011864,31.32834748
172338,2.961172554,0
172502,60.02414117,30.16099347
173381,81.58636429,34.48349408
173771,266.1157046,51.25259879
174579,117.4224511,39.63226178
174766,42.78401417,25.41812539
176530,295.6086236,52.74876434
176601,404.1948335,57.20525746
177609,47.86031548,26.98522175
180026,135.8479886,41.69815339
181102,202.5381184,47.36933288
182374,254.1846871,50.59982209
184255,49.61100905,27.48813033
184677,154.8847169,43.55881057
185266,425.9945337,57.95387445
187716,76.20653892,33.52120221
189080,236.0027898,49.54388446
192462,757.66817,66.16520697
192762,82.71858951,34.678015
192815,153.6430974,43.4445695
193211,167.692819,44.68684888
195149,244.0431472,50.02049009
195373,265.3954009,51.21402393
195550,306.8259111,53.27906285
196138,148.9687025,43.0060946
199366,303.3345812,53.11610989
199947,205.6708118,47.58753209
200438,164.620707,44.42428966
201255,74.92752929,33.28256176
205126,71.03886964,32.53151185
207373,111.7302016,38.92853382
207567,173.5447993,45.17402055
207978,171.2557905,44.98543609
210215,263,51.08498719
212863,431.1403392,58.12500564
213843,0.150156902,0
216137,149.3814203,43.04535526
216647,488.2882301,59.89931062
222644,94.6440715,36.58048161
224539,403.4587393,57.17928181
227079,80.8856643,34.36177052
227195,95.66975419,36.73286534
227208,114.7042334,39.30053176
231014,55.91845024,29.16599351
232992,69.67519316,32.25849481
234875,84.17112348,34.92374929
