ZoneID,LONG,LAT
3584,-122.6179962,47.5864983
3585,-122.6159973,47.5797997
3593,-122.6169968,47.5752983
3590,-122.6110001,47.5755005
3591,-122.6110001,47.5721016
3594,-122.6169968,47.5722008
3592,-122.6139984,47.5690002
3589,-122.6060028,47.5737
3588,-122.6060028,47.5835991
3586,-122.6100006,47.5864983
3573,-122.6259995,47.6002998
3574,-122.6179962,47.6012001
3578,-122.6269989,47.5923004
3577,-122.6179962,47.5918999
3582,-122.6380005,47.5854988
3579,-122.6320038,47.5918999
3571,-122.6340027,47.6035004
3581,-122.6480026,47.5914993
3570,-122.6439972,47.597599
3569,-122.6470032,47.603199
3543,-122.6039963,47.6170998
3575,-122.6060028,47.6006012
3698,-122.5419998,47.6044998
3576,-122.6050034,47.5928993
3547,-122.6340027,47.6128006
3549,-122.6449966,47.6128998
3524,-122.7160034,47.6393013
3551,-122.6549988,47.6095009
3540,-122.6210022,47.6394005
3493,-122.6579971,47.7523003
3541,-122.598999,47.635601
3544,-122.6179962,47.6264
3580,-122.6399994,47.5931015
3572,-122.6340027,47.5978012
3542,-122.6070023,47.6263008
3546,-122.6330032,47.6268997
3548,-122.6449966,47.6273994
3539,-122.6340027,47.6380997
3537,-122.6419983,47.6451988
3538,-122.6449966,47.6366005
3536,-122.6549988,47.6389008
3550,-122.6559982,47.6278992
3535,-122.6650009,47.6343994
3552,-122.6660004,47.6264
3553,-122.6729965,47.6213989
3534,-122.6679993,47.6458015
3532,-122.6800003,47.6456985
3531,-122.6849976,47.6521988
3530,-122.6800003,47.6576996
3523,-122.7139969,47.6514015
3526,-122.6999969,47.6473007
3527,-122.6959991,47.6455002
3529,-122.685997,47.6575012
3528,-122.6910019,47.6575012
3525,-122.6959991,47.6556015
3555,-122.7149963,47.6260986
3554,-122.7089996,47.6239014
3563,-122.7149963,47.5984001
3566,-122.6940002,47.6011009
3565,-122.7070007,47.5853996
3564,-122.7020035,47.5736008
3631,-122.689003,47.5531006
3567,-122.6930008,47.5890999
3619,-122.6409988,47.5643997
3606,-122.6809998,47.5741997
3605,-122.6650009,47.5749016
3568,-122.6719971,47.5861015
3519,-122.7109985,47.661499
3600,-122.6549988,47.5830002
3603,-122.6549988,47.5766983
3601,-122.6490021,47.5764999
3604,-122.6549988,47.5727997
3602,-122.651001,47.5727005
3598,-122.6439972,47.5768013
3599,-122.6439972,47.5732994
3596,-122.6360016,47.5750008
3597,-122.637001,47.5718994
3511,-122.6529999,47.6815987
3622,-122.6299973,47.5691986
3624,-122.625,47.5698013
3595,-122.6309967,47.5732002
3621,-122.6360016,47.5662003
3623,-122.6299973,47.5661011
3625,-122.6259995,47.5653992
3620,-122.637001,47.5691986
3617,-122.6439972,47.5688019
3618,-122.6419983,47.5662994
3615,-122.6500015,47.5665016
3613,-122.6529999,47.5685997
3612,-122.6569977,47.5656013
3610,-122.6610031,47.5695992
3627,-122.6579971,47.5616989
3628,-122.6600037,47.5582008
3626,-122.6409988,47.5602989
3630,-122.6750031,47.5537987
3629,-122.6650009,47.5535011
3611,-122.6650009,47.5629005
3609,-122.6699982,47.5632019
3608,-122.677002,47.5662003
3562,-122.7679977,47.5880013
3633,-122.7819977,47.5237007
3512,-122.6490021,47.6595993
3561,-122.8649979,47.5629997
3560,-122.8919983,47.594799
3559,-122.8310013,47.6041985
3557,-122.7819977,47.6274986
3558,-122.8359985,47.6456985
3556,-122.737999,47.6241989
3522,-122.7340012,47.6548004
3520,-122.7389984,47.6823006
3607,-122.6829987,47.5640984
3496,-122.7200012,47.7125015
3518,-122.7109985,47.6953011
3495,-122.6780014,47.7486992
3498,-122.6699982,47.7165985
3687,-122.5479965,47.6703987
3516,-122.6750031,47.6861
3517,-122.6969986,47.6806984
3513,-122.663002,47.6871986
3514,-122.6640015,47.6657982
3515,-122.6709976,47.6706009
3509,-122.6220016,47.6585007
3510,-122.6360016,47.6893997
3508,-122.6210022,47.7008018
3499,-122.6460037,47.7080994
3494,-122.6600037,47.7426987
3478,-122.6650009,47.7739983
3492,-122.6449966,47.7387009
3491,-122.6309967,47.7442017
3490,-122.6350021,47.7533989
3502,-122.6279984,47.7300987
3501,-122.6220016,47.7392998
