GEOID,Supermarket,Pharmacy,School,restaurant
53033000100,0.169385049,0.211399208,0.123904753,0.140594778
53033000200,0.333256708,0.344267984,0.30740316,0.234513568
53033000300,0.582046847,0.478507001,0.290510214,0.384079314
53033000401,0.260736658,0.208475278,0.343226819,0.187385357
53033000402,0.571730944,0.456247612,0.346252979,0.256593692
53033000500,0.999113304,1.009770229,0.211315819,0.591979055
53033000600,0.332251315,0.323513591,0.221973359,0.28340438
53033000700,0.336821627,0.217970648,0.376344649,0.155324846
53033000800,0.777222692,0.672845321,0.448718167,0.649171846
53033000900,0.963139391,0.8879915,0.752781218,0.653616082
53033001000,0.876062964,0.656946177,0.249496028,0.347993061
53033001100,0.549836786,0.533467592,0.437129008,0.509400669
53033001200,0.257476967,0.145610062,0.231919558,0.162713214
53033001300,0.215623785,0.646659264,0.141715259,0.17104786
53033001400,0.454398595,0.454492117,0.101902006,0.132825759
53033001500,0.748414136,0.722602046,0.169429307,0.617886258
53033001600,0.570733318,0.54117882,0.305966653,0.478370091
53033001701,0.283391466,0.335093449,0.282820761,0.185643683
53033001702,0.266063844,0.255813002,0.330595808,0.235821913
53033001800,0.48595944,0.628061127,0.188125209,0.180040191
53033001900,0.680116138,0.329141127,0.142302468,0.200196798
53033002000,0.785181872,0.564982352,0.064421096,0.279650494
53033002100,0.566717462,0.428748355,0.295043348,0.247338973
53033002200,0.664001523,0.473467346,0.478798932,0.632362961
53033002400,0.323734523,0.333835546,0.338232181,0.586125591
53033002500,0.582730756,0.580698581,0.180647455,0.235240409
53033002600,0.453039057,0.441498191,0.325943013,0.186802509
53033002700,0.428289926,0.63255625,0.220397124,0.223415293
53033002800,0.273651269,0.583924783,0.250825452,0.18760921
53033002900,0.265719238,0.461907541,0.238633708,0.157634971
53033003000,0.353844351,0.403960299,0.257806767,0.185737523
53033003100,0.593578586,0.763401826,0.19414854,0.474349181
53033003200,0.372096166,0.536089688,0.152707917,0.153364029
53033003300,0.201327796,0.457193,0.158654421,0.176516226
53033003400,0.50478394,0.660134629,0.298726028,0.135463409
53033003500,0.49493117,0.921026671,0.21594622,0.132630472
53033003600,0.288041032,0.151624449,0.088138021,0.094785134
53033003800,0.401302111,0.326286166,0.186418914,0.293784902
53033003900,0.342481037,0.329902519,0.267290054,0.684246448
53033004000,0.974765409,0.732085352,0.243434873,0.48385595
53033004100,0.761417711,0.419924096,0.400263912,0.353081984
53033004200,0.378954453,0.897343225,0.303663941,0.243038341
53033004301,0.457549389,0.412890503,0.245829355,0.099913559
53033004302,0.417454021,0.328643598,0.390943801,0.158377777
53033004400,0.189387655,0.263772032,0.136896828,0.139675678
