geoid10,Sum_acres_res,Sum_acres_sf8_7,prct_sf,CNTY,TRACT,BG,Total_pop,White_non_Hisp,Black_non_Hisp,AIAN_non_Hisp,API_non_Hisp,Other_2_non_Hisp,Hispanic_or_Latino,Total_Minority,pWhite_non_Hisp,pBlack_non_Hisp,pAIAN_non_Hisp,pAPI_non_Hisp,pOther_2__non_Hisp,pHispanic_or_Latino,pTotal_Minority,White__Black,White_AIAN,White__API,White__Other_2_,White__Hispanic,White__Minority,Black__AIAN,Black__API,Black__Other_2_,Black__Hispanic,AIAN__Asian,AIAN__Other_2_,AIAN__Hispanic,API__Other_2_,API__Hispanic,Other_2___Hispanic
5.3033E+11,126.369721,124.4330276,0.984674387,33,200,6,1381,1009,0,36,179,157,0,372,0.0004,0,0.0013,0.0003,0.0006,0,0.0003,3.8021,-8.769,0.6725,-2.5335,3.8021,1.2944,-12.5711,-3.1297,-6.3356,0,9.4415,6.2355,12.5711,-3.2059,3.1297,6.3356
5.3033E+11,194.799646,192.8178936,0.989826715,33,300,1,1319,950,42,0,160,143,24,369,0.0004,0.0002,0,0.0003,0.0006,0.0001,0.0002,1.7159,3.5798,0.7823,-2.1908,2.994,1.0923,1.8639,-0.9335,-3.9067,1.2782,-2.7975,-5.7706,-0.5858,-2.9732,2.2117,5.1849
5.3033E+11,104.3035212,77.59922905,0.743975161,33,300,2,1634,1023,72,0,324,96,119,611,0.0004,0.0003,0,0.0006,0.0004,0.0003,0.0004,0.6595,3.8549,-1.81,-0.0191,0.9504,-0.2639,3.1953,-2.4695,-0.6787,0.2909,-5.6649,-3.874,-2.9045,1.7909,2.7604,0.9695
5.3033E+11,156.0395398,72.48500794,0.464529747,33,401,1,3608,1641,1091,0,522,86,268,1967,0.0006,0.0048,0,0.0009,0.0003,0.0007,0.0013,-42.2347,6.1836,-2.9431,2.7132,-0.3575,-7.0761,48.4183,39.2916,44.9478,41.8772,-9.1267,-3.4705,-6.5411,5.6563,2.5856,-3.0707
5.3033E+11,100.5534822,83.18714435,0.827292527,33,401,2,1748,1283,16,0,260,150,39,465,0.0005,0.0001,0,0.0005,0.0006,0.0001,0.0003,4.1246,4.8346,0.2887,-1.2185,3.8827,1.7,0.7101,-3.8358,-5.343,-0.2418,-4.5459,-6.0531,-0.9519,-1.5072,3.594,5.1012
5.3033E+11,80.37961026,32.69062603,0.406702968,33,401,3,1789,1304,94,0,188,137,66,485,0.0005,0.0004,0,0.0003,0.0006,0.0002,0.0003,0.7421,4.9138,1.6267,-0.6148,3.3029,1.6443,4.1717,0.8847,-1.3568,2.5608,-3.287,-5.5285,-1.6109,-2.2415,1.6761,3.9176
5.3033E+11,79.40505893,65.72060281,0.827662667,33,402,1,1255,766,56,0,189,170,74,489,0.0003,0.0002,0,0.0003,0.0007,0.0002,0.0003,0.4012,2.8865,-0.4181,-3.9737,1.0803,-0.41,2.4853,-0.8192,-4.3749,0.6791,-3.3045,-6.8602,-1.8061,-3.5557,1.4984,5.0541
5.3033E+11,185.4111679,115.1967401,0.621304215,33,402,2,894,681,15,0,101,81,16,213,0.0003,0.0001,0,0.0002,0.0003,0,0.0001,1.9005,2.5662,0.8003,-0.7025,2.1756,1.1303,0.6657,-1.1002,-2.603,0.2752,-1.7659,-3.2687,-0.3905,-1.5028,1.3754,2.8782
5.3033E+11,79.73920018,69.47074453,0.871224497,33,402,3,1393,1237,0,0,49,69,38,156,0.0005,0,0,0.0001,0.0003,0.0001,0.0001,4.6613,4.6613,3.8046,1.8769,3.7338,3.6097,0,-0.8567,-2.7844,-0.9275,-0.8567,-2.7844,-0.9275,-1.9277,-0.0707,1.857
5.3033E+11,99.93950644,88.4620765,0.885156228,33,402,4,1648,1526,0,0,90,15,17,122,0.0006,0,0,0.0002,0.0001,0,0.0001,5.7503,5.7503,4.1767,5.145,5.3354,4.9279,0,-1.5736,-0.6053,-0.4149,-1.5736,-0.6053,-0.4149,0.9683,1.1587,0.1904
5.3033E+11,435.2928015,435.2928015,1,33,500,1,1360,1219,24,0,71,46,0,141,0.0005,0.0001,0,0.0001,0.0002,0,0.0001,3.5283,4.5935,3.3521,2.7372,4.5935,3.643,1.0651,-0.1763,-0.7912,1.0651,-1.2414,-1.8563,0,-0.6149,1.2414,1.8563
