TractIDInt,TractID,GEOID10,White_Black_Dissim,White_AIAN_Dissim,White_API_Dissim,White_Other2_Dissim,White_Hispanic_Dissim,White_Minority_Dissim,Black_AIAN_Dissim,Black_API_Dissim,Black_Other_Dissim,Black_Hispanic_Dissim,AIAN_Asian_Dissim,AIAN_Other_dissim,AIAN_Hispanic_Dissim,"API_Other_Disim
Other/2+",API_Hispanic_Dissim,Other_Hispanic_Dissim
53033000100,53033000100,530330001001,4.118664257,-1.468513171,2.300310776,2.181665152,3.630520059,2.851332825,-5.587177428,-1.818353481,-1.936999104,-0.488144198,3.768823947,3.650178324,5.09903323,-0.118645623,1.330209283,1.448854906
53033000100,53033000100,530330001002,-10.73728756,2.931675015,-1.229556989,-5.986591693,1.662500101,-2.589306061,13.66896258,9.507730575,4.75069587,12.39978766,-4.161232004,-8.918266709,-1.269174914,-4.757034704,2.89205709,7.649091794
53033000100,53033000100,530330001003,-0.996352183,2.909065696,-2.528510578,-1.287765696,-1.264567195,-1.634452308,3.90541788,-1.532158395,-0.291413513,-0.268215011,-5.437576275,-4.196831392,-4.173632891,1.240744882,1.263943384,0.023198501
53033000100,53033000100,530330001004,-37.20227797,-0.752490088,-1.911292906,-2.667960028,-9.41529472,-9.448457536,36.44978788,35.29098506,34.53431794,27.78698324,-1.158802818,-1.91546994,-8.662804633,-0.756667122,-7.504001814,-6.747334693
53033000100,53033000100,530330001005,1.139747975,-1.313985499,-1.722423408,2.700992237,0.028251665,-0.057331537,-2.453733474,-2.862171383,1.561244262,-1.11149631,-0.408437908,4.014977736,1.342237165,4.423415644,1.750675073,-2.672740572
53033000200,53033000200,530330002001,-0.303852189,3.157768204,0.465206319,1.503248136,-3.432178466,-0.502662473,3.461620393,0.769058508,1.807100325,-3.128326277,-2.692561885,-1.654520068,-6.58994667,1.038041817,-3.897384785,-4.935426602
53033000200,53033000200,530330002002,-4.157793669,2.543548374,-2.579312875,-4.518427526,0.957079731,-2.067380876,6.701342044,1.578480794,-0.360633857,5.114873401,-5.122861249,-7.061975901,-1.586468643,-1.939114651,3.536392606,5.475507258
53033000200,53033000200,530330002003,-9.554905431,4.069677399,0.31058126,-0.692112065,-0.177177122,-1.417598054,13.62458283,9.865486692,8.862793366,9.37772831,-3.759096138,-4.761789464,-4.246854521,-1.002693326,-0.487758382,0.514934944
53033000200,53033000200,530330002004,1.475092413,2.762105124,-0.612339317,0.663689427,1.27326532,0.503828371,1.28701271,-2.08743173,-0.811402986,-0.201827093,-3.374444441,-2.098415696,-1.488839803,1.276028744,1.885604637,0.609575893
53033000200,53033000200,530330002005,1.796257112,3.926485046,1.583606523,0.334965874,-5.421476342,-0.482210465,2.130227934,-0.212650589,-1.461291238,-7.217733453,-2.342878523,-3.591519172,-9.347961388,-1.248640649,-7.005082864,-5.756442216
