GEOID,White_Black_Dissim,White_AIAN_Dissim,White_API_Dissim,White_Other2_Dissim,White_Hispanic_Dissim,White_Minority_Dissim,Black_AIAN_Dissim,Black_API_Dissim,Black_Other_Dissim,Black_Hispanic_Dissim,AIAN_Asian_Dissim,AIAN_Other_dissim,AIAN_Hispanic_Dissim,"API_Other_Disim
Other/2+",API_Hispanic_Dissim,Other_Hispanic_Dissim
53033000100,13.57608423,8.394163935,10.34414963,4.766606875,5.617166021,8.560137264,-5.18192029,-3.231934597,-8.80947735,-7.958918204,1.949985693,-3.62755706,-2.776997914,-5.577542753,-4.726983607,0.850559146
53033000200,14.97493267,3.551817517,8.482870049,-3.192681421,4.229157863,6.248559031,-11.42311515,-6.492062616,-18.16761409,-10.7457748,4.931052532,-6.744498938,0.677340345,-11.67555147,-4.253712186,7.421839283
53033000300,10.45935378,-12.35417557,6.775508123,5.297852149,3.117284345,5.70856043,-22.81352935,-3.683845653,-5.161501627,-7.342069431,19.12968369,17.65202772,15.47145992,-1.477655974,-3.658223778,-2.180567804
53033000401,11.4756572,-49.81278341,12.39120071,3.944454366,-12.09470866,2.877430032,-61.28844061,0.915543508,-7.531202833,-23.57036586,62.20398412,53.75723778,37.71807475,-8.446746341,-24.48590936,-16.03916302
53033000402,12.31437381,19.68141209,10.83442304,5.315335399,5.76930245,8.90909492,7.367038273,-1.479950778,-6.999038416,-6.545071364,-8.846989051,-14.36607669,-13.91210964,-5.519087638,-5.065120586,0.453967052
53033000500,10.16419464,-3.386812992,6.365991752,-4.997182632,3.061795674,3.943844261,-13.55100763,-3.798202889,-15.16137727,-7.102398966,9.752804743,-1.61036964,6.448608666,-11.36317438,-3.304196077,8.058978306
53033000600,15.24472946,-9.632458969,12.82749015,2.628805842,-12.90972414,3.948935704,-24.87718843,-2.417239312,-12.61592362,-28.15445361,22.45994912,12.26126481,-3.277265174,-10.19868431,-25.7372143,-15.53852998
53033000700,9.577231926,-6.223128637,11.44515652,5.303128989,-7.680701097,4.511879889,-15.80036056,1.867924599,-4.274102938,-17.25793302,17.66828516,11.52625763,-1.45757246,-6.142027536,-19.12585762,-12.98383009
53033000800,10.04542501,9.307318983,7.340366253,11.63818709,-5.250863656,5.029551286,-0.738106027,-2.705058757,1.592762075,-15.29628867,-1.96695273,2.330868102,-14.55818264,4.297820832,-12.59122991,-16.88905074
53033000900,7.176490367,-14.28228892,5.352496556,2.466346719,-6.493516728,1.496587385,-21.45877929,-1.82399381,-4.710143648,-13.6700071,19.63478548,16.74863564,7.788772193,-2.886149838,-11.84601328,-8.959863447
53033001000,14.08937388,7.454600688,11.23945449,-0.760952581,0.763037284,6.701101284,-6.634773196,-2.849919398,-14.85032647,-13.3263366,3.784853798,-8.21555327,-6.691563404,-12.00040707,-10.4764172,1.523989865
53033001100,12.04537522,-30.79393416,12.7150466,-0.287186095,7.379262568,8.127681339,-42.83930938,0.669671385,-12.33256131,-4.666112649,43.50898077,30.50674807,38.17319673,-13.0022327,-5.335784034,7.666448663
53033001200,16.47845237,12.3885076,15.59880771,8.52043773,6.342857816,11.93157601,-4.089944774,-0.879644661,-7.958014641,-10.13559456,3.210300113,-3.868069867,-6.045649781,-7.07836998,-9.255949894,-2.177579914
53033001300,8.229582849,0.08122575,12.07297355,9.676932592,13.66615161,11.29745058,-8.148357099,3.843390705,1.447349744,5.436568763,11.9917478,9.595706842,13.58492586,-2.396040961,1.593178059,3.98921902
53033001400,14.06053393,10.63628538,13.18218711,9.754422469,9.276819901,11.61521334,-3.424248544,-0.878346819,-4.30611146,-4.783714027,2.545901726,-0.881862915,-1.359465482,-3.427764641,-3.905367208,-0.477602567
53033001500,22.61981178,12.89830983,21.71327154,13.2857305,15.78362523,18.63525689,-9.72150195,-0.906540241,-9.334081274,-6.836186549,8.814961709,0.387420676,2.885315401,-8.427541033,-5.929646308,2.497894725
53033001600,18.12136908,-5.274936394,16.94992982,14.12630843,11.21412869,14.64294877,-23.39630548,-1.171439262,-3.995060652,-6.907240399,22.22486622,19.40124483,16.48906508,-2.823621391,-5.735801137,-2.912179747
53033001701,18.81689335,21.12464028,20.42527355,11.39929061,17.31711553,17.82823033,2.307746929,1.608380205,-7.41760274,-1.499777814,-0.699366723,-9.725349669,-3.807524743,-9.025982945,-3.108158019,5.917824926
53033001702,13.1102664,-4.422072863,14.48031665,-3.436308268,-1.276253942,6.562482271,-17.53233926,1.370050249,-16.54657466,-14.38652034,18.90238951,0.985764595,3.145818921,-17.91662491,-15.75657059,2.160054327
53033001800,17.38785846,9.024610519,15.81286305,12.72268341,9.27586151,13.59936269,-8.363247942,-1.574995414,-4.665175049,-8.111996951,6.788252528,3.698072893,0.251250991,-3.090179635,-6.537001538,-3.446821902
