FID,Join_Count,TARGET_FID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,FID_FLU_di,OBJECTID,Jurisdicti,Juris_zn,Zone_adj,Jurisdic_1,Zone_adj_1,Juris_zn_1,Key,Definition,Res_Use,MaxDU_Res
0,1,0,53,33,31800,3,530330318003.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
1,1,1,53,33,32002,2,530330320022.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
2,1,2,53,33,32003,4,530330320034.0,563,566,King,King_F,F,King,F,King_F,King_F,Forest,Y,0.01
3,1,3,53,33,32003,2,530330320032.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
4,1,4,53,33,32003,1,530330320031.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
5,1,5,53,33,32003,3,530330320033.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
6,1,6,53,33,32007,2,530330320072.0,236,237,Covington,Covington_R-04,R-04,Covington,R-04,Covington_R-04,Covington_R-4,Low density residential,Y,6
7,1,7,53,33,21903,5,530330219035.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
8,1,8,53,33,21903,4,530330219034.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
9,1,9,53,33,21904,3,530330219043.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
10,1,10,53,33,32011,2,530330320112.0,1640,1648,MapleValley,MapleValley_PRO,PRO,MapleValley,PRO,MapleValley_PRO,MapleValley_PRO,"Parks, recreation, open space",Y,1
11,1,11,53,33,32008,1,530330320081.0,1645,1653,MapleValley,MapleValley_R-4,R-4,MapleValley,R-4,MapleValley_R-4,MapleValley_R-4,Low density residential,Y,4
12,1,12,53,33,32008,3,530330320083.0,1646,1654,MapleValley,MapleValley_R-6,R-6,MapleValley,R-6,MapleValley_R-6,MapleValley_R-6,Low density residential,Y,6
13,1,13,53,33,32207,2,530330322072.0,-1,0, , , , , , , , , ,0
14,1,14,53,33,32207,1,530330322071.0,1131,1139,Sammamish,Sammamish_R-4,R-4,Sammamish,R-4,Sammamish_R-4,Sammamish_R-4,Residential 4,Y,4
15,1,15,53,33,29901,2,530330299012.0,-1,0, , , , , , , , , ,0
16,1,16,53,33,29901,1,530330299011.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
17,1,17,53,33,29802,6,530330298026.0,38,39,Auburn,Auburn_R5,R5,Auburn,R5,Auburn_R5,Auburn_R-5,Residential zone - 5 DU/acre,Y,5
18,1,18,53,33,29802,5,530330298025.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
19,1,19,53,33,29802,4,530330298024.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
20,1,20,53,33,29802,3,530330298023.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
21,1,21,53,33,29802,2,530330298022.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
22,1,22,53,33,27500,4,530330275004.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
23,1,23,53,33,27500,3,530330275003.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
24,1,24,53,33,27500,2,530330275002.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
25,1,25,53,33,27400,4,530330274004.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
26,1,26,53,33,27400,1,530330274001.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
27,1,27,53,33,27400,3,530330274003.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
28,1,28,53,33,27400,2,530330274002.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
29,1,29,53,33,27300,4,530330273004.0,-1,0, , , , , , , , , ,0
30,1,30,53,33,27300,3,530330273003.0,-1,0, , , , , , , , , ,0
