FID,Join_Count,TARGET_FID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,FID_FLU_di,OBJECTID,Jurisdicti,Juris_zn,Zone_adj,Jurisdic_1,Zone_adj_1,Juris_zn_1,Key,Definition,Res_Use,MaxDU_Res
31,1,31,53,33,27300,2,530330273002.0,-1,0, , , , , , , , , ,0
32,1,32,53,33,31205,2,530330312052.0,35,36,Auburn,Auburn_R1,R1,Auburn,R1,Auburn_R1,Auburn_R-1,Residential zone - 1 DU/acre,Y,1
33,1,33,53,33,24901,1,530330249011.0,109,110,Bellevue,Bellevue_R-3.5,R-3.5,Bellevue,R-3.5,Bellevue_R-3.5,Bellevue_R-3.5,Single family residential,Y,3.5
34,1,34,53,33,24902,2,530330249022.0,109,110,Bellevue,Bellevue_R-3.5,R-3.5,Bellevue,R-3.5,Bellevue_R-3.5,Bellevue_R-3.5,Single family residential,Y,3.5
35,1,35,53,33,26002,1,530330260021.0,1111,1119,Renton,Renton_RC,RC,Renton,RC,Renton_RC,Renton_RC,Resource conservation,Y,1
36,1,36,53,33,24902,3,530330249023.0,112,113,Bellevue,Bellevue_R-5,R-5,Bellevue,R-5,Bellevue_R-5,Bellevue_R-5,Single family residential,Y,5
37,1,37,53,33,24702,2,530330247022.0,112,113,Bellevue,Bellevue_R-5,R-5,Bellevue,R-5,Bellevue_R-5,Bellevue_R-5,Single family residential,Y,5
38,1,38,53,33,24702,3,530330247023.0,927,935,Newcastle,Newcastle_R6,R6,Newcastle,R6,Newcastle_R6,Newcastle_R6,Residential,Y,9
39,1,39,53,33,21700,2,530330217002.0,523,526,Kenmore,Kenmore_R-4,R-4,Kenmore,R-4,Kenmore_R-4,Kenmore_R-4,Residential 4,Y,6
40,1,40,53,33,20200,5,530330202005.0,1445,1453,Shoreline,Shoreline_R6,R6,Shoreline,R6,Shoreline_R6,Shoreline_R-6,Residential 6,Y,6
41,1,41,53,33,20200,4,530330202004.0,1445,1453,Shoreline,Shoreline_R6,R6,Shoreline,R6,Shoreline_R6,Shoreline_R-6,Residential 6,Y,6
42,1,42,53,33,20200,3,530330202003.0,1445,1453,Shoreline,Shoreline_R6,R6,Shoreline,R6,Shoreline_R6,Shoreline_R-6,Residential 6,Y,6
43,1,43,53,33,20200,2,530330202002.0,-1,0, , , , , , , , , ,0
44,1,44,53,33,20200,1,530330202001.0,-1,0, , , , , , , , , ,0
45,1,45,53,33,20100,3,530330201003.0,1445,1453,Shoreline,Shoreline_R6,R6,Shoreline,R6,Shoreline_R6,Shoreline_R-6,Residential 6,Y,6
46,1,46,53,33,20100,1,530330201001.0,1445,1453,Shoreline,Shoreline_R6,R6,Shoreline,R6,Shoreline_R6,Shoreline_R-6,Residential 6,Y,6
47,1,47,53,33,12100,2,530330121002.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
48,1,48,53,33,12100,1,530330121001.0,1396,1404,Seattle,Seattle_SF 9600,SF 9600,Seattle,SF 9600,Seattle_SF 9600,Seattle_SF 9600,Single family residential,Y,4.53
49,1,49,53,33,12000,3,530330120003.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
50,1,50,53,33,12000,1,530330120001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
51,1,51,53,33,6300,2,530330063002.0,-1,0, , , , , , , , , ,0
52,1,52,53,33,6300,1,530330063001.0,-1,0, , , , , , , , , ,0
53,1,53,53,33,6200,2,530330062002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
54,1,54,53,33,6200,3,530330062003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
55,1,55,53,33,6200,1,530330062001.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
56,1,56,53,33,6100,3,530330061003.0,-1,0, , , , , , , , , ,0
57,1,57,53,33,6100,4,530330061004.0,-1,0, , , , , , , , , ,0
58,1,58,53,33,6100,1,530330061001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
59,1,59,53,33,6000,4,530330060004.0,-1,0, , , , , , , , , ,0
60,1,60,53,33,6000,3,530330060003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
61,1,61,53,33,6000,2,530330060002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
62,1,62,53,33,6000,1,530330060001.0,-1,0, , , , , , , , , ,0
63,1,63,53,33,5900,3,530330059003.0,-1,0, , , , , , , , , ,0
64,1,64,53,33,5900,5,530330059005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
65,1,65,53,33,1500,2,530330015002.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
66,1,66,53,33,4301,3,530330043013.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
67,1,67,53,33,5600,3,530330056003.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
68,1,68,53,33,5700,1,530330057001.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
69,1,69,53,33,5802,3,530330058023.0,-1,0, , , , , , , , , ,0
70,1,70,53,33,3200,6,530330032006.0,-1,0, , , , , , , , , ,0
71,1,71,53,33,7200,3,530330072003.0,-1,0, , , , , , , , , ,0
72,1,72,53,33,7200,2,530330072002.0,-1,0, , , , , , , , , ,0
73,1,73,53,33,7401,4,530330074014.0,-1,0, , , , , , , , , ,0
74,1,74,53,33,8400,1,530330084001.0,-1,0, , , , , , , , , ,0
75,1,75,53,33,8001,5,530330080015.0,-1,0, , , , , , , , , ,0
76,1,76,53,33,8100,3,530330081003.0,-1,0, , , , , , , , , ,0
77,1,77,53,33,8400,3,530330084003.0,-1,0, , , , , , , , , ,0
78,1,78,53,33,20401,1,530330204011.0,1445,1453,Shoreline,Shoreline_R6,R6,Shoreline,R6,Shoreline_R6,Shoreline_R-6,Residential 6,Y,6
79,1,79,53,33,25301,3,530330253013.0,-1,0, , , , , , , , , ,0
80,1,80,53,33,22005,1,530330220051.0,689,692,Kirkland,Kirkland_RSX 7.2,RSX 7.2,Kirkland,RSX 7.2,Kirkland_RSX 7.2,Kirkland_RSX 7.2,Single family residential,Y,6.05
81,1,81,53,33,32320,3,530330323203.0,577,580,King,King_RA-2.5,RA-2.5,King,RA-2.5,King_RA-2.5,King_RA-2.5,Rural area,Y,0.4
82,1,82,53,33,22606,3,530330226063.0,1082,1090,Redmond,Redmond_R-4,R-4,Redmond,R-4,Redmond_R-4,Redmond_R-4,Single family urban,Y,8
83,1,83,53,33,22901,1,530330229011.0,112,113,Bellevue,Bellevue_R-5,R-5,Bellevue,R-5,Bellevue_R-5,Bellevue_R-5,Single family residential,Y,5
84,1,84,53,33,24903,3,530330249033.0,109,110,Bellevue,Bellevue_R-3.5,R-3.5,Bellevue,R-3.5,Bellevue_R-3.5,Bellevue_R-3.5,Single family residential,Y,3.5
85,1,85,53,33,23900,3,530330239003.0,112,113,Bellevue,Bellevue_R-5,R-5,Bellevue,R-5,Bellevue_R-5,Bellevue_R-5,Single family residential,Y,5
86,1,86,53,33,24200,1,530330242001.0,850,853,Medina,Medina_R-20 (20000 Sq ft),R-20 (20000 Sq ft),Medina,R-20 (20000 Sq ft),Medina_R-20 (20000 Sq ft),Medina_R-20,Single family residence,Y,2.17
87,1,87,53,33,32326,1,530330323261.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
88,1,88,53,33,32324,2,530330323242.0,1083,1091,Redmond,Redmond_R-5,R-5,Redmond,R-5,Redmond_R-5,Redmond_R-5,Single family urban,Y,10
89,1,89,53,33,32325,1,530330323251.0,1082,1090,Redmond,Redmond_R-4,R-4,Redmond,R-4,Redmond_R-4,Redmond_R-4,Single family urban,Y,8
90,1,90,53,33,32324,3,530330323243.0,-1,0, , , , , , , , , ,0
91,1,91,53,33,25200,3,530330252003.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
92,1,92,53,33,25200,2,530330252002.0,-1,0, , , , , , , , , ,0
93,1,93,53,33,31909,2,530330319092.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
94,1,94,53,33,31706,2,530330317062.0,-1,0, , , , , , , , , ,0
95,1,95,53,33,31706,3,530330317063.0,-1,0, , , , , , , , , ,0
96,1,96,53,33,21904,4,530330219044.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
97,1,97,53,33,32005,1,530330320051.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
98,1,98,53,33,32005,2,530330320052.0,237,238,Covington,Covington_R-06,R-06,Covington,R-06,Covington_R-06,Covington_R-6,Medium density residential,Y,9
99,1,99,53,33,32005,3,530330320053.0,237,238,Covington,Covington_R-06,R-06,Covington,R-06,Covington_R-06,Covington_R-6,Medium density residential,Y,9
100,1,100,53,33,32006,2,530330320062.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
101,1,101,53,33,32207,3,530330322073.0,1128,1136,Sammamish,Sammamish_R-1,R-1,Sammamish,R-1,Sammamish_R-1,Sammamish_R-1,Residential 1,Y,1
102,1,102,53,33,32208,2,530330322082.0,498,501,Issaquah,Issaquah_SF-SL,SF-SL,Issaquah,SF-SL,Issaquah_SF-SL,Issaquah_SF-SL,Single family - small lot,Y,7.26
103,1,103,53,33,32208,4,530330322084.0,496,499,Issaquah,Issaquah_SF-E,SF-E,Issaquah,SF-E,Issaquah_SF-E,Issaquah_SF-E,Single family - suburban estates,Y,1.24
104,1,104,53,33,32208,1,530330322081.0,-1,0, , , , , , , , , ,0
105,1,105,53,33,32211,3,530330322113.0,-1,0, , , , , , , , , ,0
106,1,106,53,33,32212,1,530330322121.0,1132,1140,Sammamish,Sammamish_R-6,R-6,Sammamish,R-6,Sammamish_R-6,Sammamish_R-6,Residential 6,Y,6
107,1,107,53,33,29802,1,530330298021.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
108,1,108,53,33,29801,2,530330298012.0,560,563,King,King_A-10,A-10,King,A-10,King_A-10,King_A-10,Agricultural,Y,0.1
109,1,109,53,33,29801,5,530330298015.0,-1,0, , , , , , , , , ,0
110,1,110,53,33,29801,4,530330298014.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
111,1,111,53,33,29801,3,530330298013.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
112,1,112,53,33,29801,1,530330298011.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
113,1,113,53,33,29700,5,530330297005.0,557,560,Kent,Kent_SR-4.5,SR-4.5,Kent,SR-4.5,Kent_SR-4.5,Kent_SR-4.5,Single family residential,Y,4.53
114,1,114,53,33,21803,3,530330218033.0,-1,0, , , , , , , , , ,0
115,1,115,53,33,21600,4,530330216004.0,524,527,Kenmore,Kenmore_R-6,R-6,Kenmore,R-6,Kenmore_R-6,Kenmore_R-6,Residential 6,Y,9
116,1,116,53,33,21802,2,530330218022.0,-1,0, , , , , , , , , ,0
117,1,117,53,33,21802,3,530330218023.0,-1,0, , , , , , , , , ,0
118,1,118,53,33,21802,1,530330218021.0,-1,0, , , , , , , , , ,0
119,1,119,53,33,21905,3,530330219053.0,170,171,Bothell,"Bothell_R 9,600","R 9,600",Bothell,"R 9,600","Bothell_R 9,600",Bothell_R-9600,Residential 9600 min lot,Y,4.53
120,1,120,53,33,21700,3,530330217003.0,524,527,Kenmore,Kenmore_R-6,R-6,Kenmore,R-6,Kenmore_R-6,Kenmore_R-6,Residential 6,Y,9
121,1,121,53,33,21905,2,530330219052.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
122,1,122,53,33,22101,4,530330221014.0,-1,0, , , , , , , , , ,0
123,1,123,53,33,26002,3,530330260023.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
124,1,124,53,33,31501,3,530330315013.0,576,579,King,King_RA-10,RA-10,King,RA-10,King_RA-10,King_RA-10,Rural area,Y,0.1
125,1,125,53,33,26002,4,530330260024.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
126,1,126,53,33,26002,2,530330260022.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
127,1,127,53,33,11900,5,530330119005.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
128,1,128,53,33,11900,4,530330119004.0,1396,1404,Seattle,Seattle_SF 9600,SF 9600,Seattle,SF 9600,Seattle_SF 9600,Seattle_SF 9600,Single family residential,Y,4.53
129,1,129,53,33,11900,3,530330119003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
130,1,130,53,33,11900,2,530330119002.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
131,1,131,53,33,11800,6,530330118006.0,-1,0, , , , , , , , , ,0
132,1,132,53,33,11800,5,530330118005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
133,1,133,53,33,11800,4,530330118004.0,-1,0, , , , , , , , , ,0
134,1,134,53,33,11800,3,530330118003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
135,1,135,53,33,11800,2,530330118002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
136,1,136,53,33,11800,1,530330118001.0,-1,0, , , , , , , , , ,0
137,1,137,53,33,11700,4,530330117004.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
138,1,138,53,33,11700,3,530330117003.0,-1,0, , , , , , , , , ,0
139,1,139,53,33,5900,4,530330059004.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
140,1,140,53,33,5900,2,530330059002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
141,1,141,53,33,5900,1,530330059001.0,-1,0, , , , , , , , , ,0
142,1,142,53,33,5802,2,530330058022.0,-1,0, , , , , , , , , ,0
143,1,143,53,33,5802,1,530330058021.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
144,1,144,53,33,5801,4,530330058014.0,-1,0, , , , , , , , , ,0
145,1,145,53,33,5801,3,530330058013.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
146,1,146,53,33,5801,2,530330058012.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
147,1,147,53,33,5801,1,530330058011.0,-1,0, , , , , , , , , ,0
148,1,148,53,33,5700,5,530330057005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
149,1,149,53,33,5700,6,530330057006.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
150,1,150,53,33,5700,4,530330057004.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
151,1,151,53,33,5700,3,530330057003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
152,1,152,53,33,5700,2,530330057002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
153,1,153,53,33,32309,2,530330323092.0,-1,0, , , , , , , , , ,0
154,1,154,53,33,32325,3,530330323253.0,1076,1084,Redmond,Redmond_R-1,R-1,Redmond,R-1,Redmond_R-1,Redmond_R-1,Single family constrained,Y,1.25
155,1,155,53,33,11401,3,530330114013.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
156,1,156,53,33,10401,3,530330104013.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
157,1,157,53,33,11001,1,530330110011.0,-1,0, , , , , , , , , ,0
158,1,158,53,33,11002,2,530330110022.0,-1,0, , , , , , , , , ,0
159,1,159,53,33,11401,1,530330114011.0,-1,0, , , , , , , , , ,0
160,1,160,53,33,11001,2,530330110012.0,-1,0, , , , , , , , , ,0
161,1,161,53,33,27701,1,530330277011.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
162,1,162,53,33,24100,3,530330241003.0,230,231,ClydeHill,ClydeHill_R-1,R-1,ClydeHill,R-1,ClydeHill_R-1,ClydeHill_R-1,Residence,Y,2.17
163,1,163,53,33,24800,2,530330248002.0,112,113,Bellevue,Bellevue_R-5,R-5,Bellevue,R-5,Bellevue_R-5,Bellevue_R-5,Single family residential,Y,5
164,1,164,53,33,24901,2,530330249012.0,109,110,Bellevue,Bellevue_R-3.5,R-3.5,Bellevue,R-3.5,Bellevue_R-3.5,Bellevue_R-3.5,Single family residential,Y,3.5
165,1,165,53,33,25701,2,530330257012.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
166,1,166,53,33,26100,4,530330261004.0,-1,0, , , , , , , , , ,0
167,1,167,53,33,25500,3,530330255003.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
168,1,168,53,33,25702,1,530330257021.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
169,1,169,53,33,32005,4,530330320054.0,-1,0, , , , , , , , , ,0
170,1,170,53,33,25301,1,530330253011.0,-1,0, , , , , , , , , ,0
171,1,171,53,33,25302,2,530330253022.0,-1,0, , , , , , , , , ,0
172,1,172,53,33,31601,1,530330316011.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
173,1,173,53,33,25301,2,530330253012.0,-1,0, , , , , , , , , ,0
174,1,174,53,33,25400,1,530330254001.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
175,1,175,53,33,25400,2,530330254002.0,-1,0, , , , , , , , , ,0
176,1,176,53,33,25400,4,530330254004.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
177,1,177,53,33,32006,3,530330320063.0,-1,0, , , , , , , , , ,0
178,1,178,53,33,31704,3,530330317043.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
179,1,179,53,33,32006,1,530330320061.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
180,1,180,53,33,31800,1,530330318001.0,555,558,Kent,Kent_SR-1,SR-1,Kent,SR-1,Kent_SR-1,Kent_SR-1,Residential agricultural,Y,1
181,1,181,53,33,21804,3,530330218043.0,169,170,Bothell,"Bothell_R 8,400","R 8,400",Bothell,"R 8,400","Bothell_R 8,400",Bothell_R-8400,Residential 8400 min lot,Y,5.18
182,1,182,53,33,21803,4,530330218034.0,169,170,Bothell,"Bothell_R 8,400","R 8,400",Bothell,"R 8,400","Bothell_R 8,400",Bothell_R-8400,Residential 8400 min lot,Y,5.18
183,1,183,53,33,32702,5,530330327025.0,563,566,King,King_F,F,King,F,King_F,King_F,Forest,Y,0.01
184,1,184,53,33,32602,2,530330326022.0,576,579,King,King_RA-10,RA-10,King,RA-10,King_RA-10,King_RA-10,Rural area,Y,0.1
185,1,185,53,33,32212,2,530330322122.0,1131,1139,Sammamish,Sammamish_R-4,R-4,Sammamish,R-4,Sammamish_R-4,Sammamish_R-4,Residential 4,Y,4
186,1,186,53,33,31705,3,530330317053.0,236,237,Covington,Covington_R-04,R-04,Covington,R-04,Covington_R-04,Covington_R-4,Low density residential,Y,6
187,1,187,53,33,25200,5,530330252005.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
