GEOID,nonwhite,poor_english,no_bachelors,rent,cost_burdened,severe_cost_burdened,poverty_200, jobs_auto_30 , ln_jobs_auto_30 , jobs_transit_45 ,ln_jobs_transit_45,transit_qt_mile,transit_2025_half,dist_super,dist_pharm,dist_rest,dist_park,dist_school,prox_high_inc,at_risk_du,voting
53033032602,0.22,0.02,0.35,0.12,0.08,0.04,0.03,"75,144",1.1,152,0.5,0,0,0.78,0.73,0.53,0.3,1.2,0,0.03,0.83
53053070311,0.21,0.04,0.83,0.08,0.19,0.1,0.3,"85,145",1.1,0,0,0,0,0.74,0.77,0.7,0.44,0.8,0,0.02,0.64
53053073115,0.21,0.02,0.85,0.15,0.2,0.08,0.32,"45,965",1.1,0,0,0,0,2.32,2.37,2.42,1.5,0.22,0,0,0.6
53033005400,0.21,0.01,0.18,0.55,0.18,0.08,0.18,"872,643",1.4,"449,709",1.3,0,0,0.48,0.43,0.11,0.15,0.34,0,0.04,0.8
53033003900,0.21,0.04,0.29,0.24,0.11,0.07,0.13,"812,346",1.4,"305,112",1.3,0,0,0.36,0.4,0.67,0.16,0.34,0,0,0.79
53033022500,0.21,0.05,0.3,0.42,0.21,0.14,0.14,"595,484",1.3,"245,296",1.2,0,0,0.35,0.38,0.26,0.11,0.44,0,0.01,0.72
53033009600,0.21,0.02,0.37,0.49,0.24,0.17,0.13,"556,992",1.3,"193,559",1.2,0.08,0.4,0.47,0.5,0.35,0.09,0.51,0,0.02,0.8
53053061100,0.21,0.03,0.71,0.45,0.28,0.2,0.24,"227,447",1.2,"79,357",1.1,0,0,0.26,0.39,0.34,0.18,0.45,0,0.1,0.6
53061052005,0.21,0.06,0.47,0.35,0.21,0.08,0.09,"273,624",1.3,"17,816",1,0,0,0.6,0.59,0.64,0.02,0.8,0,0,0.67
53053073302,0.21,0.01,0.72,0.41,0.18,0.09,0.23,"266,849",1.2,"24,167",1,0.17,0.33,0.42,0.44,0.35,0.17,0.48,0,0.03,0.67
53033032317,0.21,0.07,0.29,0.15,0.12,0.08,0.06,"213,827",1.2,"20,609",1,0,0,1.19,1.19,1.11,0.4,0.5,0,0.02,0.72
53053060904,0.21,0.07,0.79,0.69,0.3,0.13,0.4,"199,479",1.2,"11,862",0.9,0,0,0.51,0.42,0.5,0.27,0.42,0,0.11,0.6
53035080400,0.21,0.04,0.68,0.39,0.25,0.16,0.28,"77,694",1.1,"6,096",0.9,0,0,0.91,1.22,0.51,0.29,1.39,0,0.03,0.52
53061051917,0.21,0.02,0.54,0.1,0.16,0.11,0.07,"302,777",1.3,"3,055",0.8,0,0,1.23,1.21,1,0.25,0.26,0,0.01,0.76
53033022300,0.21,0.04,0.25,0.06,0.11,0.09,0.04,"289,463",1.3,"3,432",0.8,0,0,1.06,1.11,0.68,0.07,0.89,0,0.03,0.93
53033031000,0.21,0.05,0.55,0.18,0.12,0.08,0.08,"228,532",1.2,"4,172",0.8,0,0,1.2,1.17,0.9,0.27,0.65,0,0.01,0.74
53035940100,0.21,0.01,0.68,0.22,0.26,0.17,0.27,"45,828",1.1,"3,043",0.8,0,0,3.13,1.45,0.82,1.18,1.31,0,0,0.67
53053071100,0.21,0.06,0.82,0.31,0.22,0.12,0.29,"263,186",1.2,978,0.7,0,0,0.93,1.25,1.06,0.32,0.61,0,0,0.69
53053073113,0.2,0.02,0.8,0.23,0.12,0.05,0.14,"65,779",1.1,0,0,0,0,1.26,1.35,0.9,1.46,1.41,0,0.05,0.62
53053073116,0.2,0.01,0.85,0.22,0.25,0.09,0.24,"42,134",1.1,0,0,0,0,1.81,1.83,1.73,0.02,1.41,0,0,0.72
53033004500,0.2,0.01,0.29,0.37,0.22,0.13,0.24,"889,566",1.4,"440,040",1.3,0,0.27,0.4,0.39,0.23,0.15,0.23,0,0.01,0.69
53033002600,0.2,0.02,0.27,0.35,0.19,0.12,0.18,"847,055",1.4,"462,499",1.3,0,0.49,0.44,0.45,0.19,0.19,0.68,0,0.02,0.81
53033024100,0.2,0.04,0.22,0.08,0.15,0.11,0.07,"845,244",1.4,"404,381",1.3,0,0,0.89,0.89,0.82,0.25,0.72,0,0,0.82
53033003500,0.2,0.02,0.26,0.45,0.25,0.13,0.14,"786,041",1.4,"432,674",1.3,0,0,0.88,0.51,0.16,0.18,0.44,0,0.01,0.88
53053073407,0.2,0.01,0.73,0.53,0.25,0.12,0.28,"305,283",1.3,"43,166",1.1,0.23,0.56,0.4,0.32,0.26,0.35,0.43,0,0.08,0.54
53061040300,0.2,0.01,0.75,0.46,0.44,0.29,0.42,"210,888",1.2,"39,889",1.1,0,0,0.25,0.29,0.24,0.29,0.4,0,0.02,0.61
53061052805,0.2,0.02,0.84,0.32,0.36,0.21,0.21,"94,917",1.1,"22,029",1,0,0,0.45,0.42,0.29,1.29,0.44,0,0.45,0.63
53033032322,0.2,0.05,0.33,0.08,0.07,0.03,0.04,"281,220",1.3,"5,760",0.9,0,0,2.06,1.49,1.42,0.51,0.6,0,0.03,0.77
53061052803,0.2,0.06,0.84,0.24,0.33,0.12,0.23,"78,172",1.1,"13,252",0.9,0,0,1.27,0.47,0.79,0.69,0.88,0,0.31,0.61
53061052604,0.2,0.04,0.72,0.39,0.2,0.12,0.24,"109,248",1.2,"4,358",0.8,0,0,0.49,0.5,0.47,0.55,0.82,0,0.04,0.65
53035092400,0.2,0.03,0.77,0.46,0.31,0.09,0.36,"27,804",1,"3,866",0.8,0,0,0.63,0.76,0.38,0.32,0.38,1,0.05,0.6
53061052606,0.2,0.01,0.74,0.3,0.33,0.17,0.27,"83,426",1.1,668,0.7,0,0,2.04,2.09,0.97,0.28,2.57,0,0.06,0.7
53061053507,0.2,0.03,0.78,0.13,0.2,0.1,0.11,"55,090",1.1,344,0.6,0,0,1.48,1.54,0.09,0.22,0.66,0,0.04,0.7
53033031603,0.2,0.02,0.64,0.14,0.19,0.12,0.12,"62,374",1.1,52,0.4,0,0,2.1,2.1,0.7,0.23,1.45,0,0.06,0.71
53053073124,0.19,0.01,0.83,0.11,0.14,0.02,0.26,"64,336",1.1,0,0,0,0,0.81,0.82,0.68,0.27,0.48,0,0.03,0.55
53035092902,0.19,0,0.83,0.18,0.23,0.11,0.32,"51,081",1.1,0,0,0,0,2.64,3.63,1.26,1.4,1.35,0,0,0.61
53033006100,0.19,0.02,0.23,0.6,0.17,0.06,0.11,"912,409",1.4,"475,115",1.3,0,0.02,0.33,0.44,0.21,0.07,0.31,0,0.02,0.74
53033007000,0.19,0.01,0.31,0.71,0.23,0.07,0.14,"881,096",1.4,"475,176",1.3,0,0,0.21,0.24,0.12,0.1,0.46,0,0.02,0.71
53033005000,0.19,0.03,0.27,0.77,0.31,0.17,0.21,"876,151",1.4,"485,761",1.3,0,0,0.19,0.24,0.12,0.15,0.21,0,0.04,0.85
53033009800,0.19,0.01,0.43,0.34,0.15,0.09,0.14,"574,219",1.3,"306,240",1.3,0,0,0.3,0.31,0.17,0.18,0.33,0,0.02,0.92
53033010500,0.19,0.03,0.43,0.59,0.22,0.14,0.17,"565,950",1.3,"348,149",1.3,0,0,0.18,0.28,0.17,0.17,0.34,0,0.04,0.77
53033005700,0.19,0.01,0.33,0.3,0.18,0.08,0.09,"558,870",1.3,"199,615",1.2,0,0,0.62,0.38,0.55,0.12,0.53,0,0.01,0.85
53033021400,0.19,0.02,0.45,0.18,0.19,0.14,0.13,"332,979",1.3,"83,356",1.1,0,0,0.57,0.57,0.44,0.38,0.41,0,0.02,0.85
53061050401,0.19,0.07,0.52,0.23,0.18,0.08,0.12,"262,300",1.2,"50,413",1.1,0,0,0.53,0.71,0.43,0.14,0.25,0,0.03,0.73
53053060700,0.19,0.02,0.42,0.35,0.27,0.21,0.25,"231,036",1.2,"65,664",1.1,0,0,0.32,0.33,0.25,0.47,0.38,0,0.1,0.55
53033022203,0.19,0.04,0.37,0.18,0.12,0.09,0.12,"373,071",1.3,"32,880",1,0,0,0.68,1.22,0.3,0.12,0.52,0,0.02,0.77
53061042003,0.19,0.04,0.55,0.11,0.13,0.09,0.06,"259,268",1.2,"22,129",1,0,0,1.45,1.46,1.33,0.34,0.4,0,0.02,0.75
53061041301,0.19,0.04,0.52,0.21,0.19,0.15,0.1,"242,084",1.2,"17,090",1,0.07,0.28,0.8,2.53,0.39,0.22,0.46,0,0.02,0.79
53061042001,0.19,0.05,0.52,0.27,0.18,0.14,0.11,"251,471",1.2,"11,929",0.9,0,0,0.85,1.59,0.6,0.1,0.59,0,0,0.8
53061052904,0.19,0.06,0.84,0.29,0.26,0.11,0.27,"95,639",1.1,"6,193",0.9,0,0,0.4,0.77,0.81,0.15,0.34,0,0.37,0.55
53033032328,0.19,0.02,0.4,0.09,0.12,0.08,0.09,"330,832",1.3,"2,226",0.8,0,0,1.43,1.47,1.9,0.84,0.77,0,0,0.77
53061052118,0.19,0.05,0.57,0.15,0.13,0.12,0.13,"252,734",1.2,"4,050",0.8,0,0,0.75,0.76,0.73,0.48,0.68,0,0.01,0.74
53035092100,0.19,0.02,0.71,0.22,0.26,0.07,0.25,"32,173",1,142,0.5,0,0,2.16,1.85,1.35,1.15,2.04,0,0.04,0.69
53035092600,0.19,0.02,0.72,0.2,0.18,0.09,0.26,"17,774",1,225,0.5,0,0,2.33,2.65,0.8,0.78,0.77,0,0.01,0.74
53053072504,0.19,0.02,0.63,0.18,0.16,0.1,0.12,"110,701",1.2,66,0.4,0,0,1.09,1.43,1.33,0.46,1.58,0,0.02,0.6
53033031601,0.18,0.03,0.65,0.07,0.17,0.09,0.13,"130,745",1.2,0,0,0,0,2.22,2.29,1.34,0.78,1.28,0,0,0.68
53053070312,0.18,0,0.7,0.1,0.11,0.08,0.13,"112,491",1.2,0,0,0,0,1.04,0.94,1.01,0.22,0.76,0,0.03,0.71
53053072503,0.18,0.01,0.69,0.11,0.17,0.1,0.2,"58,528",1.1,0,0,0,0,0.78,0.83,1.87,0.85,1.17,0,0,0.64
53033006200,0.18,0.01,0.16,0.17,0.11,0.07,0.08,"912,625",1.4,"545,504",1.3,0.02,0.18,0.64,0.83,0.37,0.08,0.28,0,0,0.84
53033006000,0.18,0.01,0.23,0.47,0.14,0.05,0.15,"841,825",1.4,"452,488",1.3,0,0,0.55,0.44,0.2,0.06,0.62,0,0.04,0.72
53033005900,0.18,0.01,0.21,0.41,0.21,0.16,0.2,"754,635",1.4,"397,934",1.3,0,0,0.72,0.37,0.41,0.18,0.49,0,0.05,0.54
53033004700,0.18,0.04,0.33,0.75,0.23,0.07,0.17,"682,016",1.3,"435,860",1.3,0,0,0.13,0.19,0.13,0.17,0.5,0,0.04,0.77
53033001600,0.18,0.03,0.36,0.2,0.19,0.12,0.13,"530,328",1.3,"298,394",1.3,0,0,0.46,0.49,0.42,0.09,0.37,0,0.03,0.88
53033009701,0.18,0.02,0.31,0.46,0.27,0.14,0.12,"462,716",1.3,"172,345",1.2,0,0,0.93,0.97,1.01,0.1,0.41,0,0.03,0.7
53033012000,0.18,0.01,0.51,0.18,0.19,0.09,0.11,"382,331",1.3,"95,298",1.1,0,0.02,0.7,0.71,0.57,0.24,0.38,0,0.01,0.82
53033032103,0.18,0.07,0.52,0.55,0.24,0.11,0.25,"310,226",1.3,"38,950",1.1,0,0,0.85,0.76,0.58,0.21,0.67,0,0.18,0.7
53061050402,0.18,0.06,0.56,0.29,0.21,0.12,0.1,"287,540",1.3,"53,530",1.1,0,0,0.47,0.7,0.37,0.23,0.43,0,0.14,0.7
53033021500,0.18,0.02,0.4,0.09,0.14,0.09,0.09,"276,944",1.3,"46,550",1.1,0,0,0.74,0.81,0.53,0.22,0.74,0,0.02,0.84
53033020800,0.18,0.04,0.41,0.24,0.17,0.1,0.12,"273,093",1.3,"40,099",1.1,0,0,0.39,0.46,0.41,0.24,0.83,0,0.01,0.83
53033023404,0.18,0.02,0.27,0.15,0.06,0.04,0.06,"369,955",1.3,"29,970",1,0,0,1.56,1.24,1.46,0.06,0.7,0,0.01,0.82
53033022201,0.18,0.07,0.56,0.26,0.32,0.2,0.15,"320,943",1.3,"31,160",1,0,0,0.55,0.54,0.54,0.23,0.34,0,0.01,0.72
53053073408,0.18,0.02,0.78,0.36,0.26,0.15,0.29,"307,037",1.3,"18,339",1,0,0.08,0.84,0.67,0.49,0.31,0.41,0,0.02,0.73
53033020100,0.18,0.03,0.4,0.12,0.17,0.11,0.14,"232,863",1.2,"30,043",1,0,0,1.01,1.04,0.26,0.1,0.64,0,0.02,0.83
53061040900,0.18,0.03,0.6,0.34,0.22,0.08,0.19,"221,124",1.2,"29,775",1,0,0,1.1,1.17,1.1,0.22,0.55,0,0.04,0.74
53061052401,0.18,0.03,0.72,0.35,0.21,0.15,0.31,"172,510",1.2,"14,371",1,0,0,0.34,0.34,0.3,0.18,0.45,0,0.07,0.67
53061052906,0.18,0.06,0.83,0.41,0.36,0.16,0.29,"95,564",1.1,"10,625",0.9,0,0,0.78,0.46,0.55,0.38,0.32,0,0.66,0.58
53053072407,0.18,0.03,0.53,0.45,0.27,0.14,0.19,"198,734",1.2,"2,309",0.8,0,0,0.71,0.75,0.68,0.18,1.62,0,0.01,0.73
53061052603,0.18,0.01,0.75,0.34,0.22,0.08,0.29,"83,451",1.1,"3,951",0.8,0,0,1.57,1.51,1.04,0.21,0.55,0,0.04,0.75
53053940004,0.18,0.02,0.76,0.2,0.21,0.12,0.24,"280,799",1.3,519,0.6,0,0,1.1,1.21,0.76,0.42,0.94,0,0,0.63
53033032010,0.18,0.02,0.54,0.21,0.15,0.05,0.09,"124,535",1.2,409,0.6,0,0,0.46,0.46,0.38,0.08,0.56,0,0.02,0.8
53061052709,0.18,0.03,0.81,0.16,0.2,0.09,0.19,"70,246",1.1,120,0.5,0,0,2.25,2.28,2.21,0.84,1.87,0,0.02,0.63
53035091302,0.18,0,0.66,0.21,0.1,0.05,0.07,"79,997",1.1,50,0.4,0,0,1.77,1.72,1.11,0.67,1.26,0,0.05,0.77
53053070404,0.17,0.02,0.74,0.11,0.17,0.06,0.22,"82,159",1.1,0,0,0,0,0.99,0.7,0.85,0.57,0.77,0,0.01,0.67
53053070204,0.17,0.01,0.91,0.25,0.23,0.11,0.26,"76,884",1.1,0,0,0,0,1.74,1.78,1.76,0.51,2.19,0,0,0.52
53053070205,0.17,0.05,0.79,0.18,0.18,0.1,0.23,"63,119",1.1,0,0,0,0,2.33,2.43,1.13,0.61,1.53,0,0,0.63
53033005100,0.17,0.04,0.23,0.35,0.13,0.05,0.12,"883,917",1.4,"476,635",1.3,0,0,0.32,0.37,0.17,0.14,0.42,0,0.02,0.9
53033004200,0.17,0.04,0.21,0.24,0.16,0.11,0.14,"813,788",1.4,"341,477",1.3,0,0,0.9,0.38,0.24,0.15,0.35,0,0.03,0.82
53033003200,0.17,0.02,0.26,0.51,0.24,0.1,0.17,"559,909",1.3,"361,169",1.3,0,0,0.57,0.4,0.17,0.15,0.32,0,0.04,0.88
53053060500,0.17,0.01,0.44,0.26,0.09,0.03,0.13,"227,378",1.2,"36,650",1.1,0,0,0.56,0.4,0.23,0.14,0.35,0,0.02,0.77
53033022101,0.17,0.05,0.39,0.19,0.18,0.1,0.17,"264,680",1.2,"18,620",1,0,0,0.74,0.74,0.45,0.33,0.53,0,0.05,0.82
53061050300,0.17,0.06,0.5,0.13,0.21,0.15,0.11,"258,418",1.2,"31,351",1,0,0,0.91,0.91,0.43,0.21,0.26,0,0.03,0.86
53061040100,0.17,0.01,0.65,0.28,0.22,0.1,0.16,"202,096",1.2,"34,716",1,0,0,0.34,0.42,0.24,0.17,0.63,0,0.05,0.68
53061052503,0.17,0.04,0.77,0.18,0.29,0.14,0.15,"120,056",1.2,"7,687",0.9,0,0,0.74,0.73,0.51,0.78,0.42,0,0.09,0.75
53033030404,0.17,0.06,0.75,0.12,0.24,0.15,0.25,"339,861",1.3,"1,325",0.7,0,0,1.12,1.49,0.88,0.45,0.63,0,0.1,0.58
53061052708,0.17,0.03,0.75,0.18,0.15,0.06,0.13,"90,229",1.1,"1,438",0.7,0,0,0.78,0.97,0.79,0.12,0.72,0,0.04,0.69
53053071210,0.17,0.04,0.6,0.14,0.08,0.05,0.1,"175,922",1.2,585,0.6,0,0,1.52,1.77,1.57,0.44,0.8,0,0.08,0.81
53033031904,0.17,0.03,0.67,0.13,0.16,0.11,0.13,"145,256",1.2,228,0.5,0,0,3.71,3.79,2.42,0.6,0.84,0,0.01,0.78
53053073110,0.17,0.01,0.73,0.1,0.12,0.07,0.1,"141,133",1.2,206,0.5,0,0,1.3,1.45,1.49,0.71,0.51,0,0.08,0.67
53053070310,0.16,0.02,0.82,0.16,0.18,0.15,0.24,"97,722",1.1,0,0,0,0,0.57,0.6,0.62,0.26,0.77,0,0.07,0.59
53033032500,0.16,0.02,0.55,0.21,0.15,0.07,0.16,"62,722",1.1,0,0,0,0,5.16,4.81,0.94,0.63,2.13,0,0.04,0.75
53033032402,0.16,0.01,0.57,0.13,0.18,0.06,0.08,"42,771",1.1,0,0,0,0,0.97,1.02,0.91,0.83,0.86,0,0.02,0.74
53033006500,0.16,0.02,0.26,0.56,0.19,0.07,0.08,"922,802",1.4,"449,949",1.3,0,0.31,0.28,0.34,0.15,0.11,0.31,0,0.03,0.85
53033004800,0.16,0.01,0.24,0.44,0.14,0.08,0.12,"789,816",1.4,"426,453",1.3,0,0,0.52,0.42,0.23,0.11,0.46,0,0.02,0.77
53033003300,0.16,0.02,0.3,0.52,0.19,0.09,0.12,"637,038",1.3,"397,427",1.3,0,0,0.46,0.2,0.18,0.13,0.28,0,0.08,0.85
53033003000,0.16,0.02,0.32,0.32,0.18,0.08,0.13,"594,678",1.3,"397,123",1.3,0,0,0.4,0.35,0.19,0.18,0.3,0,0.02,0.91
53033004100,0.16,0.05,0.18,0.33,0.15,0.1,0.12,"787,967",1.4,"221,591",1.2,0,0,0.39,0.69,0.34,0.16,0.3,0,0,0.86
53033000800,0.16,0.02,0.39,0.28,0.2,0.11,0.12,"549,716",1.3,"194,740",1.2,0,0,0.67,0.78,0.65,0.13,0.26,0,0,0.86
53033009702,0.16,0.02,0.38,0.16,0.16,0.1,0.1,"525,028",1.3,"226,528",1.2,0,0,0.48,0.52,0.85,0.15,0.37,0,0.01,0.85
53033022400,0.16,0.03,0.25,0.38,0.15,0.09,0.09,"432,911",1.3,"105,082",1.2,0,0,0.55,0.64,0.45,0.15,0.49,0,0.01,0.77
53061050500,0.16,0.02,0.46,0.32,0.28,0.16,0.17,"237,646",1.2,"44,215",1.1,0.09,0.37,0.32,1.03,0.21,0.16,0.76,0,0.06,0.86
53053071206,0.16,0.05,0.76,0.4,0.24,0.15,0.21,"243,550",1.2,"12,227",0.9,0,0,0.49,0.57,0.56,0.9,0.83,0,0.11,0.65
53053071209,0.16,0.02,0.64,0.12,0.17,0.12,0.21,"180,807",1.2,"5,331",0.9,0,0,0.96,0.95,1.13,0.14,0.46,0,0,0.78
53053070703,0.16,0.03,0.8,0.46,0.27,0.12,0.2,"346,008",1.3,"4,182",0.8,0,0,0.7,0.75,0.29,0.24,0.54,0,0.08,0.57
53061051914,0.16,0.03,0.59,0.12,0.12,0.06,0.07,"308,960",1.3,"3,242",0.8,0,0,0.77,0.77,0.38,0.29,0.45,0,0.03,0.7
53053072507,0.16,0.02,0.44,0.41,0.19,0.13,0.17,"182,962",1.2,"3,420",0.8,0,0,0.86,0.62,0.22,0.15,0.93,0,0.03,0.66
53053073500,0.16,0.03,0.72,0.23,0.19,0.1,0.19,"306,259",1.3,916,0.7,0,0,1.18,0.96,1.04,0.48,1.07,0,0.21,0.71
53035090202,0.16,0.02,0.59,0.15,0.15,0.08,0.1,"57,112",1.1,951,0.7,0,0,2.6,2.59,1.47,1.15,2.57,0,0.02,0.71
53061053802,0.16,0.04,0.78,0.3,0.28,0.13,0.24,"13,103",0.9,899,0.7,0,0,1,0.86,0.64,1.06,1.39,0,0.08,0.57
53035090102,0.16,0.02,0.56,0.25,0.24,0.1,0.15,"18,096",1,617,0.6,0,0.02,3.17,3.03,0.99,0.71,2.31,0,0.04,0.69
53035090400,0.16,0.02,0.68,0.13,0.18,0.09,0.14,"79,867",1.1,191,0.5,0,0,1.18,1.59,1.22,1.02,1.11,0,0.04,0.67
53033032315,0.15,0.04,0.47,0.16,0.11,0.05,0.11,"179,176",1.2,0,0,0,0,1.71,1.71,1.66,0.69,2.65,0,0,0.78
53061052112,0.15,0.03,0.6,0.11,0.14,0.08,0.08,"141,791",1.2,0,0,0,0,2.68,2.76,0.86,0.59,1.43,0,0,0.76
53061052607,0.15,0,0.67,0.13,0.14,0.04,0.1,"109,468",1.2,0,0,0,0,1.21,1.21,1.09,0.66,1.8,0,0.12,0.77
